1501, 목, 5 6 9
1502, 목, 8 9
1503, 목, 
1504, 목, 1 2 7 8
1505, 목, 
1506, 목, 7 8 9
1507, 목, 1 2 9
1509, 목, 9
1510, 목, 9
1511, 목, 1 2 5 6
1512, 목, 9
1513, 목, 7 8 9
1514, 목, 7 8 9
2201, 목, 3 9
2213, 목, 4 5 6 9
2214, 목, 
2301, 목, 9
2302, 목, 3 4 9
2303, 목, 
2305, 목, 1 2 7 8 9
2306, 목, 1 2 7 8 9
2307, 목, 1 2 3
2308, 목, 9
2309, 목, 3 4 5 6
2310, 목, 1 2 5 6 9
2311, 목, 
2312, 목, 9
2313, 목, 6 9
2314, 목, 1 2 7 8 9
2315, 목, 1 2 9
2401, 목, 1 2 9
2402, 목, 7 8 9
2403, 목, 1 2 9
2404, 목, 1 3 4 9
2406, 목, 4
2407, 목, 7 8 9
2408, 목, 1 2 3 4 9
2409, 목, 1 2 5 6 7 8 9
2410, 목, 1 2 7 8 9
2411, 목, 4 9
2412, 목, 1 2 3 4 9
2413, 목, 1 2 9
2414, 목, 7 8 9
2415, 목, 1 2 3
2416, 목, 4 9
2417, 목, 1 2 7 8 9
2501, 목, 1 2 9
2502, 목, 1 2 3 4
2503, 목, 1 2 3 4 9
2504, 목, 1 2 3 9
2506, 목, 1 2 3 4 5 6 9
2507, 목, 1 2 3 7 8 9
2508, 목, 1 2 5 6 7 8 9
2509, 목, 1 2 7 8 9
2510, 목, 5 6 7 8 9
2511, 목, 1 2 3 4 5 6 7 8 9
2512, 목, 1 2 3 4 5 6 9
2513, 목, 1 2 3 4 5 6 7 8 9
2514, 목, 1 2 3 4 5 6 7 8 9
2515, 목, 1 2 5 6 7 8 9
2516, 목, 1 2 3 4 5 6 7 8 9
2517, 목, 1 2 3 4 5 6 7 8 9
3112, 목, 1 2 3 4 5 6 7 8
3114, 목, 5 6 7 8
3118, 목, 3 4 5 6 7 8 9
3310, 목, 1 2 3 4 5 6 7 8 9
3311, 목, 4 7 8
3315, 목, 1 2 3 4 5 6 9
3411, 목, 1 2 3 4 5 6 7 8
3413, 목, 1 2 3 4 5 9
3511, 목, 1 2 3 4 5 6 7 8 9
3515, 목, 1 2 3 4 5 6 7 8 9
4207, 목, 
4210, 목, 1 2 3
4212, 목, 1 2 3 4 5 6 7 8 9
4213, 목, 1 2 3 4 5 6
4214, 목, 1 2 3 7 8 9
4215, 목, 1 2 3
4216, 목, 4 5 6
4219, 목, 7 8 9
4402, 목, 1 2 3 4 5 6 7 8 9
4403, 목, 
4404, 목, 1 2 3
4405, 목, 4 5 6 7 8 9
4411, 목, 1 2 3 4 5 6 7 8 9
4415, 목, 4 5 6 7 8 9
4417, 목, 1 2 3
4418, 목, 1 2 3 4
4419, 목, 1 2 3 4 5 6 9
5101, 목, 1 3 4 5 9
5109, 목, 1 2 3 4 5 6 7 8 9
5201, 목, 4 5 7 8
5203, 목, 1 2 5 7 8 9
5206, 목, 1 2 3 4 5 6 7 8 9
5207, 목, 1 2 3 4 5 6 7 8 9
5208, 목, 1 2 3 4 7 8 9
5212, 목, 1 2 3 4 5 6 7 8 9
5213, 목, 1 2 4 6 7 8 9
5214, 목, 1 2 3 4 5 6 7 8 9
5301, 목, 3 4 5 6 7 8 9
5307, 목, 1 2 3 4 5 6 9
5308, 목, 3 4 5 6 7 8 9
5309, 목, 3 4 5 8 9
5310, 목, 1 2 3 4 5 6
5311, 목, 1 2 3 4 5 6 7 8 9
5312, 목, 1 2 3 4 5 6 9
5313, 목, 1 2 4 5 6 7 8 9
5314, 목, 1 4 5 6 7
5402, 목, 1 4 6 7 8 9
5403, 목, 1 2 3 4
5405, 목, 3 4 7 8 9
5406, 목, 1 2
6B01, 목, 1 2 7 8 9
0102, 금, 1 2 3 4 5 6 7 8 9
0104, 금, 1 2 3 4 5 6 7 8 9
0206, 금, 3 4 7 8 9
0207, 금, 1 2 3 4 7 8 9
0209, 금, 1 9
0212, 금, 1 2 3 4 5 6
0213, 금, 1 2 5 6 7 8 9
0214, 금, 1 2 3 4 5 6 7 8 9
0301, 금, 1 2 9
0302, 금, 1 2 4 9
0303, 금, 4 5 6 7 8 9
0304, 금, 1 2 3 4
0305, 금, 1 2 3 4 5 7 8 9
0306, 금, 1 2 3 4
0309, 금, 1 2 3 7 8 9
0310, 금, 1 2 3 4 5 6 7 8 9
0311, 금, 1 2 3 4 5 6 7 8 9
0401, 금, 1 2 3 4 5 6 7 8 9
0402, 금, 1 2 3 4 7 8 9
0403, 금, 1 2 3 4 5 6 7 8 9
0404, 금, 1 2 3 7 8 9
0405, 금, 1 2 3 4 5 6 7 8 9
0409, 금, 9
0410, 금, 9
0411, 금, 
0412, 금, 3 4 5 6 9
0413, 금, 
0415, 금, 1 2 3 7 8 9
0416, 금, 4 5 6 7 8 9
0501, 금, 1 2 3 4 5 6 7 8 9
0502, 금, 4 5 6 9
0503, 금, 1 2 3 4 5 6 7 8 9
0504, 금, 1 2 3 4 7 8 9
0505, 금, 3 4 5 6 7 8 9
0506, 금, 1 2 9
0508, 금, 1 9
0509, 금, 2 3 5 6 9
0511, 금, 1 2 3 8 9
0512, 금, 1 2 3 4 9
0513, 금, 1 2 3 4 7 8 9
0514, 금, 5 6 7 8 9
0515, 금, 1 2 5 6 7 8 9
0516, 금, 2 3 4 5 6 7 8 9
0517, 금, 1 2 5 6 7 8 9
0518, 금, 1 2 3 4 5 6 7 8 9
0604, 금, 1 2 3 4 5 6 7 8 9
1206, 금, 1 2 9
1301, 금, 5 6 7 8 9
1302, 금, 3 4 9
1303, 금, 1 2 4 5 6 9
1304, 금, 1 2 3 4 5 6 7 8 9
1305, 금, 1 2 3 4 5 6 7 8 9
1306, 금, 1 2 9
1307, 금, 1 2 7 8 9
1308, 금, 1 2 4 5 6 7 8 9
1309, 금, 1 2 3 4 5 6 7 8 9
1310, 금, 7 8 9
1311, 금, 9
1312, 금, 1 2 7 8 9
1313, 금, 1 2 3 4 7 8 9
1314, 금, 5 6 7 8 9
1334, 금, 1 2 3 4 5 6 7 8 9
1401, 금, 1 2 7 8 9
1402, 금, 7 8 9
1403, 금, 1 2 3 4 5 6 7 8 9
