3508, 수, 1 2 3 4 5 6 7 8 9
3509, 수, 1 2 3 9
5001, 수, 1 2
5003, 수, 1 2 3 4 5 6 7 8 9
5101, 수, 1 2 3 4 5 6 7 8 9
5601, 수, 4 5 6 7 8 9
5701, 수, 1 2 3 7 8 9
5801, 수, 1 2 3 4 5 6 7 8 9
6105, 수, 1 2 3 4 5 6 9
6226, 수, 4 7 8 9
6411, 수, 1 2 3 4 5 6 7 8 9
6502, 수, 1 2 5 6 7 8 9
6503, 수, 3 7 8 9
6504, 수, 1 2 3 4 7 8 9
7208, 수, 3 4 7 8 9
C301, 수, 
C302, 수, 5 6 9
C303, 수, 3 4 5 6
C304, 수, 3 9
C305, 수, 1 2 9
C306, 수, 7 8 9
C307, 수, 1 2 3 4 5 6 7 8 9
C308, 수, 1 2 9
C309, 수, 1 2 5 6
C310, 수, 1 2 3 7 8 9
C311, 수, 1 2 3
C401, 수, 
C402, 수, 1 2 3 4 5 6
C405, 수, 7 8 9
C406, 수, 3 4
C407, 수, 1 2 5 6 7 8 9
C408, 수, 1 2 3 4 5 6
C409, 수, 1 2 3 4 5 6
C412, 수, 4 5 6
C413, 수, 1 2 3
C501, 수, 1 2 3 4 5 6 7 8 9
C514, 수, 4 5 6
C515, 수, 1 2 3 7 8 9
0115, 목, 
0116, 목, 1 2 3 4 5 6 7 8 9
0117, 목, 7 8 9
01202, 목, 9
0211, 목, 3 4 9
0225, 목, 3 4 5 6
0328, 목, 1 2 3 4 9
0329, 목, 1 2 3 4 5 6 7 8 9
0330, 목, 1 2 6 9
0338, 목, 9
1202, 목, 9
1203, 목, 1 2 3 4
1204, 목, 5 6
1205, 목, 1 2 3
1206, 목, 1 2 3 4 5 6 7 8 9
1207, 목, 1 2 3 4 7 8 9
1208, 목, 1 2 3 4 5 6 7 8 9
1210, 목, 1 2 7 8 9
1211, 목, 1 2
1301, 목, 5 6
1302, 목, 1 2 3 4 9
1303, 목, 
1304, 목, 1 2
1305, 목, 
1306, 목, 1 2 5 6
1307, 목, 
1308, 목, 1 2 3
1310, 목, 1 2
1401, 목, 9
1402, 목, 7 8 9
1403, 목, 4 5 6 7 8 9
1404, 목, 
1405, 목, 1 2
1406, 목, 
1407, 목, 
1408, 목, 5 6
1409, 목, 1 2 9
1501, 목, 
1502, 목, 1 2
1503, 목, 
1504, 목, 1 2 5 6 9
1505, 목, 1 2
1506, 목, 2 3
1507, 목, 1 2 3
1508, 목, 3 4 5 6
1509, 목, 
1601, 목, 
1602, 목, 1 2 3 4 7 8 9
1603, 목, 1 2 5 6 7 8 9
1604, 목, 1 2 3 4 5 6 7 8 9
1605, 목, 1 2 9
1606, 목, 9
1607, 목, 1 2
1608, 목, 8 9
1609, 목, 9
2000, 목, 1 2 3 4 5 6 7 8 9
2105, 목, 9
2201, 목, 
2202, 목, 
2203, 목, 
2204, 목, 1 2 9
2205, 목, 7 8 9
2207, 목, 1 2
2208, 목, 9
2209, 목, 7 8 9
2210, 목, 4
2401, 목, 
2402, 목, 5 6
2403, 목, 
2404, 목, 1 2 9
2405, 목, 9
2407, 목, 1 2 5 6 9
2408, 목, 1 2 7 8 9
2409, 목, 
2502, 목, 3 4 5 9
2505, 목, 1 2 3 4 5 6 7 8 9
2506, 목, 
2507, 목, 9
2508, 목, 1 2 3 4 7 8 9
2509, 목, 
2601, 목, 1 2 5 6 9
2602, 목, 1 2 3 4 9
2604, 목, 9
2605, 목, 1 2
2608, 목, 1 2 3 4 5 6 9
3106, 목, 1 2 3 4 5 6 7 8 9
3201, 목, 5 6
3202, 목, 4
3203, 목, 1 2 5 6 7 8 9
3204, 목, 7 8 9
3205, 목, 3 4
3206, 목, 
3207, 목, 
3301, 목, 4 5 6
3302, 목, 
3303, 목, 1 2 3
3304, 목, 1 2 3 4 7 8 9
3305, 목, 5 6
3306, 목, 
3307, 목, 
3308, 목, 
3401, 목, 1 2 3 4 5 6
3402, 목, 1 2 7 8 9
3403, 목, 
3404, 목, 1 2
3405, 목, 9
3406, 목, 
3407, 목, 1 2 3 7 8 9
3408, 목, 4 5 6
3409, 목, 
3501, 목, 4 5 6 9
3502, 목, 1 2 5 6
3503, 목, 1 2 3 4 5 6
3504, 목, 7 8
3505, 목, 1 2 3 4 5 6
3506, 목, 1 2 3 7 8 9
3507, 목, 1 2 3
3508, 목, 4 5 6
3509, 목, 9
5001, 목, 
5003, 목, 1 2 3 4 5 6 7 8 9
5101, 목, 4 5 6 7 8 9
5601, 목, 1 2 3 4 5 6
5701, 목, 1 2 3 4 5 6 7 8 9
5801, 목, 1 2 3 4 5 6 7 8 9
6105, 목, 1 2 3 4 9
6226, 목, 1 2 3
6411, 목, 1 2 3 4 5 6 7 8 9
6502, 목, 1 2 3 4 5 6 7 8 9
6503, 목, 4 5 6 7 8 9
6504, 목, 7 8 9
7208, 목, 3 4 5 6 9
C301, 목, 1 2 3
C302, 목, 1 2 3 4 5 6
C303, 목, 1 2 3 4 7 8 9
C304, 목, 7 8 9
C305, 목, 1 2 3 4 5 6 7 8 9
C306, 목, 1 2 5 6
C307, 목, 1 2 7 8 9
C308, 목, 9
C309, 목, 1 2 7 8 9
C310, 목, 1 2
C311, 목, 1 2 3
C401, 목, 
C402, 목, 1 2 3 4 5 6 7 8 9
C405, 목, 9
C406, 목, 1 2 3
C407, 목, 3 4 5 6
C408, 목, 1 2 3 7 8 9
C409, 목, 1 2 3 4 5 6 7 8 9
C412, 목, 1 2 3
C413, 목, 1 2 3
C501, 목, 1 2 3 4 5 6
C514, 목, 
C515, 목, 1 2 3
0115, 금, 9
0116, 금, 1 2 5 6 7 8 9
0117, 금, 1 2 3 4 7 8 9
01202, 금, 7 8 9
0211, 금, 1 2 5 6 7 8 9
0225, 금, 1 2 3 4 5 6 7 8 9
0328, 금, 1 2 3 9
0329, 금, 1 2 5 6 9
0330, 금, 7 8 9
0338, 금, 7 8 9
1202, 금, 1 2 3 4 7 8 9
1203, 금, 1 2 3 4 5 6 7 8 9
1204, 금, 1 2 9
1205, 금, 1 2 3 4 5 6 7 8 9
1206, 금, 1 2 5 6 7 8 9
1207, 금, 1 2 3 4 5 6
1208, 금, 1 2 3 4 9
1210, 금, 
1211, 금, 1 2 5 6 7 8 9
